Input	Target	Prediction
System Settings	Configuraciones del Sistema	Configuraciones del Sistema
Excise Duty Customer	Comprador de Impuesto Especial	Comprador de Impuesto Especial
How you release picking work to your operators - will you use pick tickets, pick lists, RF directed work, or a combination of release rules	¿Cómo liberará el trabajo de surtido a sus operadores? ¿Usará tickets de surtido, listas de surtido, trabajo dirigido por RF o una combinación de reglas de liberación?	¿Cómo liberará el trabajo de surtido a sus operadores? ¿Usará tickets de surtido, listas de surtidos, trabajo dirigido por RF o una combinación de reglas de liberación?
<b>Distribution rule sets</b> determine the quantities and order in which inbound inventory is distributed between customers to satisfy outbound orders.	<b>Conjuntos de reglas de distribución</b> determinan las cantidades y el orden en el que se distribuye el inventario entrante entre los compradores para satisfacer las órdenes salientes.	<b>Conjuntos de reglas de distribución</b> determinan las cantidades y el orden en que se distribuye el inventario entrante entre los compradores para satisfacer las órdenes salientes.
Log File	Archivo de Registro	Archivo de Registro
WIP Supply Item	Artículo de Suministro WIP	Artículo de Suministro WIP
99- low	99- bajo	99- bajo
Is the operator allowed to deposit the replenishment to a location different from the system-directed location?	¿Se le permite al operador depositar el reabasto en una ubicación diferente a la ubicación dirigida por el sistema?	¿Se le permite al operador depositar el reabasto en una ubicación diferente a la ubicación dirigida por el sistema?
System Administrator	Administrador del Sistema	Administrador del Sistema
Which client is associated with this customer?	¿Qué cliente está asociado con este comprador?	¿Qué cliente está asociado con este comprador?
Reported WIP Quantity	Cantidad WIP Reportada	Cantidad WIP Reportada
Reported Scrapped Quantity	Cantidad Desechada Declarada	Cantidad Deshabilitada Reportada
Do outbound orders require planning by a transportation management system?	¿Las órdenes salientes requieren de planificación por un sistema de administración del transporte?	¿Las órdenes salientes requieren de planificación por un sistema de administración del transporte?
Clear all values in this field.	Borrar todos los valores en este campo.	Borrar todos los valores en este campo.
Auto-Complete	Auto-Completar	Autocompletado
Putaway Areas	Áreas de Almacenamiento	Áreas de Almacenamiento
CLEARED IF EMPTY	BORRADO SI VACÍO	BORRADO SI VACÍO
Is this a transport mode for parcel or small package?	¿Es este un modo de transporte para paquetería o paquetes pequeños?	¿Es este un modo de transporte para paquetería o paquetes pequeños?
Wave Date Last Modified	Fecha de Última Modificación de la Ola	Fecha de Última Modificación de la Ola
Condition Code	Código de Condición	Código de Condición
CANCEL AFTER SKIP	CANCELAR DESPUÉS DE OMITIR	CANCELAR DESPUÉS DE OMITIR
Customer Item	Artículo de Comprador	Artículo de Comprador
Should the UOM be marked for immediate release during shipment allocation?	¿Debe marcarse la UM para liberación inmediata durante la asignación de envío?	¿Debe marcarse la UM para liberación inmediata durante la asignación de envío?
At what level should RF operators be prompted to print shipping paperwork?	¿En qué nivel se les debería solicitar a los operadores de RF que impriman el papeleo del envío?	¿En qué nivel se les debería solicitar a los operadores de RF que impriman el papeleo del envío?
Adj. Minutes	Adj. Minutos	Adj. Minutos
Capture Serialized Inventory	Capturar Inventario Serializado.	Capturar Inventario Serializado.
Unallocatable Quantity	Cantidad Desasignada	Cantidad Desasignada
Add a new Movement Zone by clicking on the Add Zone button below.	Añadir una nueva Zona de Movimiento haciendo clic en el botón Añadir Zona a continuación.	Agregar una nueva Zona de Movimiento haciendo clic en el botón Agregar Zona a continuación.
Complete By:	Completar Para:	Completar Para:
Rush Flg	Bandera Urg	Bandera Urg
Outbound Customs	Aduanas Saliente	Aduanas Saliente
Add Order	Agregar Orden	Agregar Orden
Inprocess Quantity	Cantidad en Proceso	Cantidad en Proceso
Add New Building	Agregar Nuevo Edificio	Agregar Nuevo Edificio
Hot Items	Artículos Urgentes	Artículos Urgente
Allow operators to receive inventory that has a status other than what was expected?	¿Permitir que los operadores reciban inventario que tenga un estado diferente al esperado?	¿Permitir que los operadores reciban inventario con un estado diferente al esperado?
Attribute 5	Atributo 5	Atributo 5
Should the user be required to enter a reason code for order changes?	¿Debería ser obligatorio que el usuario introduzca un código de razón para los cambios en la orden?	¿Debería ser obligatorio que el usuario introduzca un código de razón para los cambios en la orden?
Under Bond	Bajo Fianza Aduanera	Bajo Fianza Aduanera
Attribute 19	Atributo 19	Atributo 19
Outbound Audit	Auditoría Saliente	Auditoría Saliente
To Aging Profile	A Perfil de Antigüedad	A Perfil de Antigüedad
Add New Action	Agregar Nueva Acción	Agregar Nueva Acción
Should handling units for this supplier be labeled on 4 sides?	¿Deberían las unidades de manejo para este proveedor tener etiquetas en los 4 lados?	¿Deberían las unidades de manejo para este proveedor tener etiquetas en los 4 lados?
Assign Roles	Asignar Roles	Asignar Roles
Case Code	Código de Caja	Código de Caja
Line Quantity	Cantidad de Línea	Cantidad de Línea
Should the system create a work order setup automatically when the component items for a work order are delivered to a production line or station?	¿Debe el sistema crear automáticamente una configuración de orden de trabajo cuando los artículos componentes de una orden de trabajo son entregados a una línea de producción o estación?	¿Debe el sistema crear automáticamente una configuración de orden de trabajo cuando los artículos componentes de una orden de Trabajo son entregados a una línea de producción o estación?
Based on Tolerance	Basado en Tolerancia	Basado en Tolerancia
Pending Approval	Aprobación Pendiente	Aprobación Pendiente
Customer Payment Terms	Términos de Pago del Cliente	Términos de Pago del Comprador
International Access Code	Código de Acceso Internacional	Código de Acceso Internacional
Set count back overrides for individual users.	Configurar Sustituir de conteo retroactivo para usuarios individuales.	Configurar Sustituir de conteo retroactivo para usuarios individuales.
Are you sure you want to cancel the selected Batch ?	¿Está seguro de que desea cancelar el lote seleccionado?	¿Está seguro de que desea cancelar el lote seleccionado?
Count Quantity	Cantidad de Conteo	Cantidad de Conteo
Add Order to Shipment	Agregar Orden al Envío	Agregar Orden al Envío
Click <b>Draw</b> to move and size a shape on the map. Click <b>View</b> to select the options to display.	Clic en <b>Dibujar</b> para mover y cambiar el tamaño de una forma en el mapa. Clic en <b>Ver</b> para seleccionar las opciones a visualizar.	Clic <b>Dibujar</b> para mover y cambiar el tamaño de una forma en el mapa. Clic<b><Ver</c> para seleccionar las opciones a visualizar.
Configuration/Voice Devices	Configuración/Dispositivos de Voz	Configuración/Dispositivos de Voz
Display an error message if the receiving transport equipment cannot be closed?	¿Mostrar un mensaje de error si no se puede cerrar el equipo de transporte de recibo?	¿Mostrar un mensaje de error si no se puede cerrar el equipo de transporte de recibo?
Should the system recalculate the velocity of the item based on actual picks?	¿Debería el sistema volver a calcular la velocidad de un artículo basado en los surtidos reales?	¿Debe el sistema volver a calcular la velocidad de un artículo basado en los surtidos reales?
Location Override Behavior	Comportamiento de Sobreescribir de Ubicación	Comportamiento de Sobreescribir de Ubicación
LPN Composition	Composición LPN	Composición LPN
({number} of {total})	({number} de {total})	({number} de {total})
Address Lookup	Búsqueda de Direcciones	Búsqueda de Direcciones
Distribution Settings	Configuración de Distribución	Configuración de Distribución
Are locations in this zone date controlled?	¿Las ubicaciones en esta zona están controladas por fecha?	¿Las ubicaciones en esta zona están controladas por fecha?
Cancellation of Order Sequence Pick	Cancelación del Surtido de Secuencia de Orden	Cancelación del Surtido de Secuencia de Orden
Approve Catch Qty	Aprobar Cant Variable	Aprobar Cant Variable
Capture Transport Equipment ID	Capturar ID del Equipo de Transporte	Capturar ID de Equipo de Transporte
Automatically Close Transport Equipment	Cerrar Automáticamente el Equipo de Transporte	Cerrar Automáticamente el Equipo de Transporte
Closing...	Cerrando...	Cerrando...
Transport Equipment User Assignment	Asignación de Usuario de Equipo de Transporte	Asignación de Usuario de Equipo de Transporte
Set up how your items are handled in the warehouse.	Configurar cómo se manipulan los artículos en el almacén.	Configurar cómo se manipulan los artículos en el almacén.
Add Message	Agregar Mensaje	Agregar Mensaje
Translated Warehouse	Almacén Traducido	Almacén Traducido
Client Lookup	Búsqueda de Cliente	Búsqueda de Cliente
Should packer be prevented from starting the packing process until all inventory for the shipment has arrived at the Pack Station when reserved by shipment?	¿Debe impedirse que el empacador inicie el proceso de empaque hasta que todo el inventario para el envío haya llegado a la estación de empaque cuando se haya reservado por envío?	¿Debe impedirse que el empacador inicie el proceso de empaque hasta que todo el inventario para el envío haya llegado a la estación de empaque cuando se haya reservado por envío?
Center text in the editor.	Centrar el texto en el editor.	Centrar el texto en el editor.
Add a New Area	Agregar una Nueva Área	Agregar una Nueva Área
Create a trace file for each package during manifesting?	¿Crear un archivo de seguimiento para cada paquete durante el manifestado?	¿Crear un archivo de seguimiento para cada paquete durante el manifestado?
Failed Items	Artículos con Error	Artículos con Error
Consolidation Code	Código de Consolidación	Código de Consolidación
Inventory Attribute Text 14	Texto de atributo de inventario 14	Atributo de Inventario - Texto 14
Reference Field 2	Campo de Referencia 2	Campo de Referencia 2
Default Search	Búsqueda Predeterminada	Búsqueda Predeterminada
Add New Customs Order Type	Agregar Nuevo Tipo de Orden de Aduanas	Agregar Nuevo Tipo de Orden de Aduanas
Sort By	IFD resultante	Clasificar Por
Number Of Aisles	Número De Pasillos	Número De Pasillos
DST Time Zone Code	Código de Zona Horaria DST	Código de Zona Horaria DST
Configure client specific print message configurations.	Configura las configuraciones de mensajes de impresión específicas del cliente.	Configura las configuraciones de mensajes de impresión específicas del cliente.
Input Fields	Campos de Entrada	Campos de Entrada
Should the system check for partial sub-LPNs quantities before selecting a location for storage?	¿Debe el sistema verificar las cantidades de sub-LPNs parciales antes de seleccionar una ubicación para almacenamiento?	¿Debe el sistema verificar las cantidades de sub-LPNs parciales antes de seleccionar una ubicación para almacenamiento?
Reprint Command	Comando Volver a Imprimir	Comando de Reimpresión
home work area absolute	absoluta de área de trabajo principal	absoluta de área de trabajo principal
Unassign Idle Work Time	Desasignar Tiempo de Trabajo Inactivo	Desasignar de Tiempo de Trabajo Inactivo
Voice Putaway	Almacenamiento por Voz	Almacenamiento por Voz
Each pick method requires a set of completed release rules for each pick type. After you complete the required settings for the release rule, you have the option to configure how work is grouped or set specific destination rules for the pick method. Be sure to save the release rule settings for the current pick type before configuring the release rules for another pick type.	Cada método de surtido requiere un conjunto de reglas de liberación completas para cada tipo de surtido. Después de completar la configuración necesaria para la regla de liberación, tienes la opción de configurar cómo se agrupa el trabajo o establecer reglas de destino específicas para el método de surtido. Asegúrate de guardar la configuración de las reglas de liberación para el tipo de surtido actual antes de configurar las reglas de liberación para otro tipo de surtido.	Cada método de surtido requiere un conjunto de reglas de liberación completas para cada tipo de surtido. Después de completar las configuraciones requeridas para la regla de liberación, tienes la opción de configurar cómo se agrupa el trabajo o establecer reglas de destino específicas para el método de Surtido. Asegúrate de guardar las configuraciones de las reglas de Liberación para el tipo de Surido actual antes de configurar las reglas para otro tipo de surtido.
When should an adjustment be performed?	¿Cuándo debe realizarse un ajuste?	¿Cuándo debe realizarse un ajuste?
Default Inventory Attributes	Atributos de Inventario Predeterminados	Atributos de Inventario Predeterminados
Do you want to continue?	¿Desea continuar?	¿Quiere continuar?
Count Near Zero Amount	Cantidad de Conteo Cercano a Cero	Cantidad de Conteo Cercano a Cero
{0}<br1}:{2}<br>Days Remaining:{3}<br>End Date:{4}.<br><br>	{0}<br1}:{2}<br>Días Restantes:{3}<br>Fecha de Finalización:{4}.<br><br>	{0}<br1}:{2}<br>Días Restantes:{3}<br><Fecha de Finalización:{4}.<br><br>
Customs Commodity Lookup	Búsqueda de Código de Mercancía Aduanera	Búsqueda de Mercancía de Aduanas
Configuration/Carrier PRO Number	Configuración/Número PRO de Transportista	Configuración/Número PRO de Transportista
Bundling...	Agrupando...	Agrupando...
Do you allow inventory produced from the work order to be directed to storage type transport equipment?	¿Permite usted que el inventario producido de la orden de trabajo sea dirigido al tipo de almacenamiento Equipo de Transporte?	¿Permite usted que el inventario producido de la orden de trabajo sea dirigido al tipo de almacenamiento Equipo de Transporte?
Updating Locations...	Actualizando Ubicaciones...	Actualizando Ubicaciones...
UCC Settings	Configuración UCC	Configuración UCC
{qty} Invalid Fields	{qty} Campos Inválidos	{qty} Campos Inválidos
Add Transport Equipment	Agregar Equipo de Transporte	Agregar Equipo de Transporte
Do you want to restrict inventory status changes by role? If No, any status change is allowed if user has access.	¿Desea restringir los cambios de estado de inventario por rol? Si no, cualquier cambio de estado está permitido si el usuario tiene acceso.	¿Desea restringir los cambios de estado de inventario por rol? Si no, cualquier cambio de estado está permitido si el usuario tiene acceso.
Should handling units for this customer type be labeled on 4 sides?	¿Deberían las unidades de manejo para este tipo de comprador tener etiquetas en los 4 lados?	¿Deberían las unidades de manejo para este tipo de comprador tener etiquetas en los 4 lados?
Batch Status	Estado del Lote	Estado del Lote
Loading Order	Cargando Orden	Cargando Orden
Play Current Session Only Button	Botón Reproducir Sólo Sesión Actual	Botón Reproducir Sólo Sesión Actual
Customer Category	Categoría de Comprador	Categoría de Comprador
Enforce Expiration Date of Item Lot	Aplicar la Fecha de Expiración del Lote de Artículo	Aplicar Fecha de Expiración de Lote de Artículo
Code Column	Columna de Código	Columna de Código
Changing your selection will invalidate all changes made. Do you wish to continue?	Cambiar su selección invalidará todos los cambios realizados. ¿Desea continuar?	Cambiar su selección invalidará todos los cambios realizados. ¿Desea continuar?
What is the customer type?	¿Cuál es el tipo de comprador?	¿Cuál es el tipo de comprador?
Item Override Config	Configuración de Sobreescribir de Artículo	Config de Sobreescribir el Artículo
Is this zone out of service?	¿Está esta zona fuera de servicio?	¿Está esta zona fuera de servicio?
Available Lanes	Carriles Disponibles	Carriles Disponibles
Specific Settings	Configuración Específica	Configuración Específica
LPN Handling Unit Height	Altura de la Unidad de Manejo de LPN	Altura de la unidad de manejo de LPN
Add A New Store Type	Agregar Un Nuevo Tipo de Tienda	Agregar Un Nuevo Tipo de Tienda
<p>Picks are typically cancelled when the pick cannot be completed. Cancelled picks for the current day are listed while allowing cancelled picks to be viewed using a date range or a previous date.</p>	<p>Los surtidos suelen cancelarse cuando no se pueden completar. Los surtidos cancelados del día actual se listan, permitiendo visualizar los surtidos cancelados mediante un rango de fechas o una fecha anterior.</p>	<p>Los surtidos suelen cancelarse cuando no se pueden completar. Los surtidos cancelados del día actual se listan, permitiendo visualizar los surtidos cancelados mediante un rango de fechas o una fecha anterior.</p>
What is the maximum number of characters allowed in the sequence portion of the PRO number?	¿Cuál es el número máximo de caracteres permitidos en la porción de secuencia del número PRO?	¿Cuál es el número máximo de caracteres permitidos en la porción de secuencia del número PRO?
Filter Clause	Cláusula de Filtro	Cláusula de Filtro
Storage Settings	Configuración de Almacenamiento	Configuración de Almacenamiento
Assign Warehouse	Asignar Almacén	Asignar Almacén
Create a trace file for each package during manifesting?	¿Crear un archivo de seguimiento para cada paquete durante el manifestado?	¿Crear un archivo de seguimiento para cada paquete durante el manifestado?
Should this GS1 value be used by default when there are multiple GS1 values mapped to the outbound WM value?	¿Debe este valor GS1 ser usado por defecto cuando haya múltiples valores GS1 mapeados al valor WM saliente?	¿Debe este valor GS1 ser usado por defecto cuando haya múltiples valores GS1, mapeados al valor WM saliente?
BTO Commodity Code	Código de Producto BTO	Código de Mercancía BTO
Should the operator be allowed to pick in the next work zone when performing cartonized picks?	¿Se debe permitir que el operador surta en la siguiente zona de trabajo al realizar surtidos cartonizados?	¿Se debe permitir que el operador surta en la siguiente zona de trabajo al realizar surtidos cartonizados?
Manage Search	Administrar Búsqueda	Administrar Búsqueda
Load Attribute 2	Atributo de Carga 2	Atributo de Carga 2
Adjustment Saved	Ajuste Guardado	Ajuste Guardado
Should the system direct the operator to the location of the LPNs to distribute?	¿Debería el sistema dirigir al operador a la ubicación de los LPN a distribuir?	¿Debería el sistema dirigir al operador a la ubicación de los LPN a distribuir?
Minimum Quantity to Produce	Cantidad Mínima a Producir	Cantidad Mínima a Producir
Please check that the event management system is running	Compruebe que el sistema event management se esté ejecutando	Compruebe que el sistema event management se esté ejecutando
Adding Inventory...	Agregando Inventario...	Agregando Inventario...
: The application adds the additional number of catch-enabled items as a straight unit quantity to the expected quantity. For example, if the limiting value is 100 and the expected quantity is 500 pounds, then users can receive up to 600 pounds (100 + 500).	: La aplicación agrega la cantidad adicional de artículos habilitados para captura como una cantidad de unidad directa a la cantidad esperada. Por ejemplo, si la cantidad limitante es 100 y la cantidad esperada es 500 libras, los usuarios pueden recibir hasta 600 libras (100 + 500).	: La aplicación agrega la cantidad adicional de artículos habilitados para variable como cantidad de unidades iguales a la cantidad esperada. Por ejemplo, si el valor limitante es 100 y la cantidad Esperada es 500 libras, los usuarios pueden recibir hasta 100 + 500 libras.
Parcel Flag	Indicador de Paquetería	Bandera de Paquetería
Configure sampling rates by quantity.	Configurar tasas de muestreo por cantidad.	Configurar las tasas de muestreo por cantidad.
Outbound Load/Inbound Shipment	Carga Saliente/Envío Entrante	Carga Saliente / Envío Entrante
Add URL Parameter	Agregar Parámetro de URL	Agregar Parámetro de URL
Sub-Component Key	Clave de Subcomponente	Clave de Subcomponente
Outbound Staging	Stage Saliente	Stage Saliente
Add New	Agregar Nuevo	Agregar Nuevo
Do you require the customs consignment reference to be entered in the 16.3 format?	¿Se requiere que se ingrese la referencia de la consignación de aduana en el formato 16.3?	¿Se requiere que se ingrese la referencia de la consignación de aduana en el formato 16.3?
Warehouses Using	Almacenes que Usan	Almacenes que Usan
Are you sure you want to close the selected manifest(s)?	¿Está seguro de que desea cerrar el(los) manifiesto(s) seleccionado(s)?	¿Está seguro de que quiere cerrar el(los) manifiesto(s) seleccionado(s).
Adjust Duration & Approve	Ajustar Duración & Aprobar	Ajustar Duración & Aprobar
Sub-Component Key	Clave de Subcomponente	Clave de Subcomponente
Assign Shipments	Asignar Envíos	Asignar Envíos
RF OUTBOUND AUDIT CONFIGURATION FLAGS	BANDERAS DE CONFIGURACIÓN DE AUDITORÍA DE SALIDA POR RF	BANDERAS DE CONFIGURACIÓN DE AUDITORÍA DE SALIDA POR RF
Expected Receipts Area	Área de Recepción Esperada	Área de Recibos Esperados
Full Access	Acceso Completo	Acceso Completo
Should system commit changes to the database during an emergency replenishment?	¿Debería el sistema comprometer cambios en la base de datos durante un reabasto de emergencia?	¿Debería el sistema comprometer cambios en la base de datos durante un reabasto de emergencia?
Add Handling Unit	Agregar Unidad de Manejo	Agregar Unidad de Manejo
Adjustments Area	Área de Ajustes	Área de Ajustes
Configuration/Parcel Handler	Configuración/Manejo de Paquetería	Configuración/Manejo de Paquetería
Inventory Attribute Integer4	Atributo de Inventario de Entero 4	Atributo de Inventario de Entero 4
How do you want to limit the stacking height of your pallets in these locations?	¿Cómo desea limitar la altura de apilamiento de sus pallets en estas ubicaciones?	¿Cómo desea limitar la altura de apilamiento de sus pallets en estas ubicaciones?
Should certain lots of this item have a shipping restriction based on the lot status?	¿Deberían ciertos lotes de este artículo tener una restricción de envío basada en el estado del lote?	¿Deberían ciertos lotes de este artículo tener una restricción de envío basada en el estado del lote?
Total Plan Misc Quantity	Cantidad Total Planificada de Artículos Diversos	Cantidad Total Planificada Miscelánea
Please configure the Customs Site Type for the warehouse before selecting Customs Item Type.	Configure el Tipo de Sitio Aduanero para el almacén antes de seleccionar el Tipo de Artículo Aduanero.	Configure el Tipo de Sitio Aduanero para el almacén antes de seleccionar el Tipo.
Error Code	Código de Error	Código de Error
Do you want to override the location verification?	¿Desea sobreescribir la verificación de la ubicación?	¿Desea sobreescribir la verificación de la ubicación?
Supplier Quantity	Cantidad del Proveedor	Cantidad del Proveedor
Bulk Picking Flag	Bandera de Surtido Masivo	Bandera de Surtido Consolidado
Add New Barcode Template Setting	Agregar Nueva Configuración de Plantilla de Código de Barras	Agregar Nueva Configuración de Plantilla de Código de Barras
To Service Level	A Nivel de Servicio	A Nivel de Servicio
Configure the conditions under which cancellation is allowed and the codes used to trigger additional activities including attempts at reallocation.	Configurar las condiciones bajo las cuales se permite la cancelación y los códigos a usar para desencadenar actividades adicionales, incluyendo tentativas de reasignación.	Configurar las condiciones bajo las cuales se permite la cancelación y los códigos utilizados para desencadenar actividades adicionales, incluyendo intentos de reasignación.
Receiving New Case Quantity	Cantidad de Nueva Caja en Recibo	Cantidad de Nueva Caja en Recibo
Shared/Appointments	Compartido/Citas	Compartido/Citas
Velocity Category	Categoría de Velocidad	Categoría de Velocidad
Should the system include undirected devices in maximum device calculation within a work zone?	¿Debería el sistema incluir dispositivos no dirigidos en el cálculo de dispositivo máximo dentro de una zona de trabajo?	¿Debe el sistema incluir dispositivos no dirigidos en el cálculo de dispositivo máximo dentro de una zona de trabajo?
UNK Flag	Bandera UNK	Bandera UNK
Form cache Flag	Bandera caché de Formulario	Bandera caché de Formulario
{0} is on hold:	{0} está retenido:	{0} está retenido:
Are you sure you want to delete this record?	¿Está seguro de que desea eliminar este registro?	¿Está seguro de que desea eliminar este registro?
Work Order Line Lookup	Búsqueda de Línea de Orden de Trabajo	Búsqueda de Línea de Orden de Trabajo
Clear Personal Data When Archiving	Borrar Datos Personales al Archivar	Borrar Datos Personales al Archivar
Quantity Loaded/Shipped	Cantidad Cargada/Enviada	Cantidad Cargada/Alternada
Are you sure you want to automatically resolve the selected problem shipment(s)?	¿Está seguro de que desea resolver automáticamente el(los) envío(s) con problema seleccionado(s)?	¿Está seguro de que desea resolver automáticamente el(los) envío(s) con problema seleccionado(s).
Voice Language Code	Código de Idioma de Voz	Código de Idioma de Voz
Inventory Attribute Date 2	Fecha de Atributo de Inventario 2	Fecha de Atributo de Inventario 2
Configuration/Voice Counting	Configuración/Conteo por Voz	Configuración/Conteo por Voz
Adjustable?	¿Ajustable?	¿Ajustable?
Inventory Attribute Date 2	Atributo de Inventario - Fecha 2	Fecha de Atributo de Inventario 2
Maximum Girth	Anchura Máxima	Anchura Máxima
To Previous Operator After Inline Replenishment	Al Operador Anterior Después de Reabasto en Línea	Al Operador Anterior Después de Reabasto en Línea
HOT ITEMS NEEDED IN SHIPPING	ARTÍCULOS URGENTE NECESARIOS EN EL ENVÍO	ARTÍCULOS URGENTE NECESARIOS EN EL ENVÍO
Configuration/Picking/Bulk Picking	Configuración/Surtido/Surtido Masivo	Configuración/Surtido/Surtir Masivo
Reason Codes	Códigos de Razón	Códigos de Razón
Are you sure you want to delete the selected Return Arrival LPNs?	¿Está seguro de que desea eliminar los LPN de Llegada de Devolución seleccionados?	¿Está seguro de que desea eliminar los LPN de Llegada de Devolución seleccionados?
Should handling units for this customer type be on slip sheets?	¿Las unidades de manejo para este tipo de comprador deben estar en hojas deslizantes?	¿Deberían las unidades de manejo para este tipo de comprador estar en hojas deslizables?
Should the system automatically increase the priority of work with this operation code as it ages?	¿Debería el sistema automáticamente aumentar la prioridad de trabajo con este código de operación a medida que avanza en antigüedad?	¿Debe el sistema automáticamente aumentar la prioridad de trabajo con este código de operación a medida que avanza en antigüedad?
Are you sure?	¿Está seguro?	¿Está seguro?
Allocate To Empty Date	Asignar a Fecha Vacía	Asignar a Fecha Vacía
Cancel Picks	Cancelar Surtidos	Cancelar Surtidos
Action Taken	Acción Tomada	Acción Tomada
Footprint Code	Código de Huella	Código de Huella
Disassembly Catch Quantity	Cantidad Variable de Desarmado	Cantidad Variable de Desarmado
Add Tractor	Agregar Tractor	Agregar Tractor
Optional Configuration	Configuración Opcional	Configuración Opcional
What operation would you like to be used for directing work when it is created?	¿Qué operación te gustaría que se utilizara para dirigir el trabajo cuando se cree?	¿Qué operación te gustaría que se utilizara para dirigir el trabajo cuando se cree?
Sort Descending	Clasificar Descendente	Clasificar Descendente
Reference Field 2	Campo de Referencia 2	Campo de Referencia 2
Should this location be used to store inventory?	¿Debe utilizarse esta ubicación para almacenar inventario?	¿Debe utilizarse esta ubicación para almacenar inventario?
Item #	Artículo N°	Artículo N°
Would you like to Reset Location {0}?	¿Le gustaría Restablecer la Ubicación {0}?	¿Desea Restablecer la Ubicación {0}?
Current Capacity in {0}	Capacidad Actual en {0}	Capacidad Actual en {0}
Expiring in:	Caducando el:	Caducando en:
Should the system allow the user to pack multiple shipments at the same time?	¿Debe el sistema permitir al usuario empacar múltiples envíos al mismo tiempo?	¿Debe el sistema permitir al usuario empacar múltiples envíos al mismo tiempo?
Close Inbound Shipment	Cerrar Recibo Entrante	Cerrar Envío de Entrada
Base 36 Flag	Bandera Base 36	Bandera Base 36
Catch Quantity	Cantidad Variable	Cantidad Variable
Selected Repack Classes	Clases de Reempaque Seleccionadas	Clases de Reempaque Seleccionadas
Loading...	Cargando...	Cargando...
Change Work Assignment Priority	Cambiar Prioridad de la Lista de Surtido	Cambiar Prioridad de la Lista de Surtido
Add one or more hops at which inventory must stop before being delivered to its final destination zone. To limit a stop to specify inventory, assign criteria to the hop. If you create multiple hops, place them in sequential order.	Agregue uno o más puntos de tránsito en los que el inventario debe detenerse antes de ser entregado en su zona de destino final. Para limitar una parada a un inventario específico, asigne criterios al punto de tránsito. Si crea múltiples puntos de salto, colóquelos en orden secuencial	Agregar uno o más puntos de tránsito en los que el inventario debe detenerse antes de ser entregado a su zona de destino final. Para limitar una parada a un inventario específico, asigne criterios al punto de tránsito. Si crea múltiples puntos de salto, colóquelos en orden secuencial.
<p>You may leave Action parameters unlinked. The user will be prompted to enter values for <i>unlinked</i> parameters when the Action is triggered.</p>	<p>Usted puede dejar los parámetros de Acción desvinculados. El sistema solicitará al usuario que introduzca valores para parámetros <i>desvinculados</i> cuando se active la Acción.</p>	<p>Usted puede dejar los parámetros de Acción desvinculados. El usuario será solicitado a ingresar valores para parámetros <i>desvinculados</i> cuando se active la Acción.</p>
Movement Configuration	Configuración de Movimiento	Configuración de Movimiento
Add new processing locations to a new or existing area.	Agregar nuevas ubicaciones de procesamiento a un área nueva o existente.	Agregar nuevas ubicaciones de procesamiento a un área nueva o existente.
How should the operator be prompted for the deposit location?	¿Cómo se le debería solicitar al operador la ubicación depósito?	¿Cómo se debe indicar al operador la ubicación de depósito?
Production Quantity	Cantidad de Producción	Cantidad de Producción
Manual Allocation	Asignación Manual	Asignación Manual
ITEM TO KEEP FILLED	ARTÍCULO A MANTENER LLENO	ARTÍCULO A MANTENER LLENO
Remove {0} from list of inbound shipments to assign?	¿Eliminar {0} de la lista de envíos entrantes para asignar?	¿Eliminar {0} de la lista de envíos entrantes para asignar?
Velocity Category	Categoría de Velocidad	Categoría de Velocidad
Add Media	Agregar Multimedia	Agregar Medio
Handling Unit Settings	Configuración de Unidad de Manejo	Configuración de Unidad de Manejo
Available Repack Classes	Clases de Reempaque Disponibles	Clases de Reempaque Disponibles
Charge User	Cobrar Usuario	Cargar Usuario
Expected Receipt Area	Área de Recibo Esperado	Área de Recepción Esperada
To Postal Range	A Rango Postal	A Rango Postal
Inventory Attribute Text 8	Texto de Atributo de Inventario 8	Atributo de Inventario - Texto 8
Items with unfulfilled demand	Artículos con demanda no cumplida	Artículos con demanda no cumplida
Add Default Consignment Configuration for Suppliers	Agregar Configuración Predeterminada de Consignación para Proveedores	Agregar Configuración Predeterminada de Consignación para Proveedores
Work Exception Calendar	Calendario de excepciones laborales	Calendario de excepciones laborales
Deleting this page also removes it from the following entities that reference it:	Al borrar esta página, se quitará también de las siguientes entidades que hacen referencia a ella:	Al borrar esta página, se quitará también de las siguientes entidades que hacen referencia a ella:
Load Attribute 5	Atributo de Carga 5	Atributo de Carga 5
Client Lookup	Búsqueda de Clientes	Búsqueda de Cliente
Add New Sampling and Criteria	Agregar Nuevo Muestreo y Criterios	Agregar Nuevo Muestreo y Criterios
Job Code	Código de Trabajo	Código de Trabajo
Allow operators to receive more inventory than the expected quantity on the receipt?	¿Permitir que el operador reciba más inventario que la cantidad esperada en el recibo?	¿Permitir que el operador reciba más inventario que la cantidad esperada en el recibo?
Derived Column	Columna Derivada	Columna Derivada
WLM Activity	Actividad de WLM	Actividad de WLM
Combination Code	Código de Combinación	Código de Combinación
Each Quantity	Cantidad Pieza	Cantidad por Pieza
Order Line Mass Update	Actualización Masiva de Líneas de Orden	Actualización Masiva de Líneas de Orden
Inventory Attribute Text 16	Atributo de Inventario - Texto 16	Atributo de Inventario - Texto 16
Assigned Item	Artículo Asignado	Artículo Asignado
Location Code	Código de Ubicación	Código de Ubicación
